,precision,recall,thresholds,
0,0.130215778,1,0,0.230426403
1,0.130208333,0.99973863,0.004458333,0.230407807
2,0.130212766,0.99973863,0.004461905,0.230414747
3,0.130234934,0.99973863,0.004466667,0.230449452
4,0.130239368,0.99973863,0.004470238,0.230456394
5,0.130252673,0.99973863,0.004475,0.230477223
6,0.130257109,0.99973863,0.00447619,0.230484167
7,0.130261545,0.99973863,0.004483333,0.230491112
8,0.130292605,0.99973863,0.004483333,0.230539734
9,0.130297043,0.99973863,0.004488361,0.230546682
10,0.130301482,0.99973863,0.004490476,0.23055363
11,0.1303148,0.99973863,0.004491667,0.230574477
12,0.13031924,0.99973863,0.004495238,0.230581427
13,0.130332561,0.99973863,0.0045,0.230602279
14,0.130434783,0.99973863,0.0045,0.23076227
15,0.130439231,0.99973863,0.0045,0.230769231
16,0.130457026,0.99973863,0.004508333,0.23079708
17,0.130461475,0.99973863,0.004508333,0.230804043
18,0.130465925,0.99973863,0.004511905,0.230811007
19,0.130483728,0.99973863,0.004511905,0.230838865
20,0.130488179,0.99973863,0.004516667,0.230845831
21,0.130497083,0.99973863,0.004516667,0.230859764
22,0.130501535,0.99973863,0.004520833,0.230866731
23,0.130514894,0.99973863,0.004525,0.230887635
24,0.130519348,0.99973863,0.004527381,0.230894603
25,0.130523801,0.99973863,0.004529762,0.230901573
26,0.130528256,0.99973863,0.004532143,0.230908542
27,0.13054162,0.99973863,0.004533333,0.230929453
28,0.130546075,0.99973863,0.004533333,0.230936425
29,0.130608482,0.99973863,0.004541667,0.231034066
30,0.130653095,0.99973863,0.004541667,0.231103861
31,0.130666484,0.99973863,0.00455,0.231124807
32,0.130670948,0.99973863,0.00455119,0.23113179
33,0.130675413,0.99973863,0.004558333,0.231138774
34,0.130679877,0.99973863,0.0045625,0.231145758
35,0.130684342,0.99973863,0.004563889,0.231152742
36,0.130697738,0.99973863,0.004566667,0.231173698
37,0.130702204,0.99973863,0.004575,0.231180684
38,0.130711137,0.99973863,0.004575,0.231194657
39,0.130715604,0.99973863,0.004578571,0.231201644
40,0.130720071,0.99973863,0.004578571,0.231208632
41,0.130791588,0.99973863,0.004583333,0.231320492
42,0.130840802,0.99973863,0.004583333,0.231397459
43,0.130845278,0.99973863,0.00458631,0.231404459
44,0.130849754,0.99973863,0.004591667,0.231411459
45,0.13085423,0.99973863,0.004591667,0.231418459
46,0.130858707,0.99973863,0.004592857,0.23142546
47,0.130863184,0.99973863,0.004595238,0.231432461
48,0.130867661,0.99973863,0.004595238,0.231439463
49,0.130872139,0.99973863,0.00459881,0.231446465
50,0.130876617,0.99973863,0.004602381,0.231453467
51,0.130881095,0.99973863,0.004604167,0.23146047
52,0.130885574,0.99973863,0.004607143,0.231467474
53,0.130903491,0.99973863,0.004608333,0.231495491
54,0.130921413,0.99973863,0.004616667,0.231523516
55,0.130925894,0.99973863,0.004616667,0.231530523
56,0.130930376,0.99973863,0.004616667,0.23153753
57,0.131011097,0.99973863,0.004625,0.231663739
58,0.131015585,0.99973863,0.004633333,0.231670755
59,0.131020073,0.99973863,0.004633333,0.231677771
60,0.131024561,0.99973863,0.004636905,0.231684788
61,0.131029049,0.99973863,0.004641667,0.231691804
62,0.131038027,0.99973863,0.004641667,0.23170584
63,0.131042516,0.99973863,0.00464881,0.231712858
64,0.131051496,0.99973863,0.00465,0.231726895
65,0.131069458,0.99973863,0.00465,0.231754976
66,0.13107395,0.99973863,0.004654545,0.231761997
67,0.131078441,0.99973863,0.004658333,0.231769019
68,0.131096412,0.99973863,0.004658333,0.231797109
69,0.131100905,0.99973863,0.004660714,0.231804133
70,0.13117284,0.99973863,0.004666667,0.231916571
71,0.131267374,0.99973863,0.004666667,0.232064311
72,0.131271879,0.99973863,0.004672619,0.232071351
73,0.131294408,0.99973863,0.004675,0.232106557
74,0.131303422,0.99973863,0.004675,0.232120642
75,0.13130793,0.99973863,0.00467619,0.232127685
76,0.131312438,0.99973863,0.004678571,0.232134729
77,0.131316946,0.99973863,0.004683333,0.232141773
78,0.131321454,0.99973863,0.004685714,0.232148818
79,0.131325963,0.99973863,0.004690476,0.232155863
80,0.131330472,0.99973863,0.004691667,0.232162909
81,0.131344001,0.99973863,0.004691667,0.232184048
82,0.131366556,0.99973863,0.0047,0.232219288
83,0.13137558,0.99973863,0.0047,0.232233387
84,0.131380092,0.99973863,0.004708333,0.232240437
85,0.131447816,0.99973863,0.004708333,0.232346241
