,precision,recall,thresholds,,
0,0.137862249,1,0,0.242317994,22342
1,0.139743266,0.999799035,0,0.245212805,
2,0.139751117,0.999799035,6.67E-05,0.245224892,
3,0.139770748,0.999799035,8.00E-05,0.245255115,
4,0.139810027,0.999799035,0.0001,0.245315582,
5,0.139947105,0.999598071,0.000133333,0.245520509,
6,0.140049555,0.999598071,0.00016,0.245678159,
7,0.140794428,0.999397106,0.0002,0.246817381,
8,0.140798414,0.999397106,0.000228571,0.246823506,
9,0.140838289,0.999397106,0.00024,0.246884774,
10,0.141050004,0.999397106,0.000266667,0.247210002,
11,0.141062007,0.999397106,0.00028,0.247228436,
12,0.141066009,0.999397106,0.000293333,0.247234582,
13,0.141185825,0.999196141,0.0003,0.24741242,
14,0.141209884,0.999196141,0.00032,0.24744936,
15,0.141362447,0.999196141,0.000333333,0.247683571,
16,0.141366467,0.999196141,0.00034,0.24768974,
17,0.141374506,0.999196141,0.000346667,0.24770208,
18,0.141410694,0.999196141,0.00036,0.247757624,
19,0.141430806,0.999196141,0.000366667,0.247788493,
20,0.141438853,0.999196141,0.000373333,0.247800842,
21,0.141442877,0.999196141,0.000388571,0.247807018,
22,0.142036688,0.998995177,0.0004,0.248711663,
23,0.142040746,0.998995177,0.000413333,0.248717885,
24,0.142044805,0.998995177,0.000426667,0.248724107,
25,0.142061043,0.998995177,0.000433333,0.248748999,
26,0.142081344,0.998995177,0.00044,0.248780122,
27,0.142085406,0.998995177,0.00045,0.248786347,
28,0.142093528,0.998995177,0.00046,0.248798799,
29,0.142239899,0.998995177,0.000466667,0.249023144,
30,0.14224804,0.998995177,0.000466667,0.249035619,
31,0.14225211,0.998995177,0.000474286,0.249041858,
32,0.142268395,0.998995177,0.00048,0.249066814,
33,0.142272467,0.998995177,0.000485714,0.249073053,
34,0.142276539,0.998995177,0.000488889,0.249079293,
35,0.142288757,0.998995177,0.000493333,0.249098016,
36,0.14229283,0.998995177,0.000495238,0.249104257,
37,0.142406967,0.998995177,0.0005,0.249279141,
38,0.142411047,0.998995177,0.000506667,0.249285392,
39,0.142419207,0.998995177,0.000514286,0.249297894,
40,0.142423287,0.998995177,0.00052,0.249304145,
41,0.142427368,0.998995177,0.00052,0.249310397,
42,0.142431449,0.998995177,0.000526667,0.249316649,
43,0.142590733,0.998794212,0.000533333,0.249554367,
44,0.142603007,0.998794212,0.000533333,0.249573165,
45,0.142607099,0.998794212,0.000542857,0.249579431,
46,0.142664409,0.998794212,0.00056,0.249667194,
47,0.142668504,0.998794212,0.000561905,0.249673465,
48,0.142688984,0.998794212,0.000566667,0.249704826,
49,0.142693081,0.998794212,0.000566667,0.249711099,
50,0.142697178,0.998794212,0.000571429,0.249717372,
51,0.142701275,0.998794212,0.00058,0.249723646,
