,Feature_name,Feature_importance
0,Mouse_Ear_distance   Importance,0.06
1,Mouse1_width_median_5 Importance,0.03
2,Mouse1_width_mean_5  Importance,0.03
3,Mouse1_width_sum_5   Importance,0.03
4,Mouse_width          Importance,0.02
5,Mouse1_width_median_2 Importance,0.02
6,Mouse1_width_mean_2  Importance,0.02
7,Mouse1_width_sum_2   Importance,0.02
8,Mouse1_width_median_6 Importance,0.02
9,Mouse1_width_mean_6  Importance,0.02
10,Mouse1_width_sum_6   Importance,0.02
11,Mouse1_width_median_7.5 Importance,0.02
12,Mouse1_width_mean_7.5 Importance,0.02
13,Mouse1_width_sum_7.5 Importance,0.02
14,Mouse_Nose_to_centroid Importance,0.01
15,Mouse_Nose_to_lateral_left Importance,0.01
16,Mouse_Nose_to_lateral_right Importance,0.01
17,Mouse_Centroid_to_lateral_left Importance,0.01
18,Mouse_Centroid_to_lateral_right Importance,0.01
19,Mouse1_smallest_euclid_distances_median_2 Importance,0.01
20,Mouse1_smallest_euclid_distances_sum_2 Importance,0.01
21,Mouse1_smallest_euclid_distances_median_5 Importance,0.01
22,Mouse1_smallest_euclid_distances_mean_5 Importance,0.01
23,Tail_base_movement_M1_mean_2 Importance,0.01
24,Tail_base_movement_M1_sum_2 Importance,0.01
25,Centroid_movement_M1_median_2 Importance,0.01
26,Centroid_movement_M1_mean_2 Importance,0.01
27,Centroid_movement_M1_sum_2 Importance,0.01
28,Nose_movement_M1_median_2 Importance,0.01
29,Nose_movement_M1_mean_2 Importance,0.01
30,Nose_movement_M1_sum_2 Importance,0.01
31,Total_movement_M1_median_2 Importance,0.01
32,Total_movement_M1_mean_2 Importance,0.01
33,Total_movement_M1_sum_2 Importance,0.01
34,Tail_end_relative_to_tail_base_centroid_nose_M1_2 Importance,0.01
35,Mouse_angle          Importance,0.01
36,M1_mean_euclid_distances_hull_deviation Importance,0.01
37,Total_angle_deviation Importance,0.01
38,Mouse1_mean_euclid_distances_mean_2_deviation Importance,0.01
39,Mouse1_mean_euclid_distances_mean_5_deviation Importance,0.01
40,Mouse1_mean_euclid_distances_mean_6_deviation Importance,0.01
41,Mouse1_mean_euclid_distances_mean_7.5_deviation Importance,0.01
42,Movement_mouse_deviation_percentile_rank Importance,0.01
43,Total_movement_M1_mean_2_percentile_rank Importance,0.01
44,Total_movement_M1_mean_5_percentile_rank Importance,0.01
45,Mouse1_mean_euclid_distances_mean_2_percentile_rank Importance,0.01
46,Mouse1_mean_euclid_distances_mean_5_percentile_rank Importance,0.01
47,Mouse1_mean_euclid_distances_mean_6_percentile_rank Importance,0.01
48,Mouse1_mean_euclid_distances_mean_7.5_percentile_rank Importance,0.01
49,Mouse1_smallest_euclid_distances_mean_5_percentile_rank Importance,0.01
50,Sum_probabilities    Importance,0.01
51,Sum_probabilities_deviation Importance,0.01
52,Mouse_poly_area      Importance,0.0
53,Mouse_nose_to_tail   Importance,0.0
54,Movement_mouse_centroid Importance,0.0
55,Movement_mouse_nose  Importance,0.0
56,Movement_mouse_tail_base Importance,0.0
57,Movement_mouse_tail_end Importance,0.0
58,Movement_mouse_left_ear Importance,0.0
59,Movement_mouse_right_ear Importance,0.0
60,Movement_mouse_lateral_left Importance,0.0
61,Movement_mouse_lateral_right Importance,0.0
62,Mouse_polygon_size_change Importance,0.0
63,M1_largest_euclidean_distance_hull Importance,0.0
64,M1_smallest_euclidean_distance_hull Importance,0.0
65,M1_mean_euclidean_distance_hull Importance,0.0
66,M1_sum_euclidean_distance_hull Importance,0.0
67,Total_movement_all_bodyparts_M1 Importance,0.0
68,Mouse1_mean_euclid_distances_median_2 Importance,0.0
69,Mouse1_mean_euclid_distances_mean_2 Importance,0.0
70,Mouse1_mean_euclid_distances_sum_2 Importance,0.0
71,Mouse1_mean_euclid_distances_median_5 Importance,0.0
72,Mouse1_mean_euclid_distances_mean_5 Importance,0.0
73,Mouse1_mean_euclid_distances_sum_5 Importance,0.0
74,Mouse1_mean_euclid_distances_median_6 Importance,0.0
75,Mouse1_mean_euclid_distances_mean_6 Importance,0.0
76,Mouse1_mean_euclid_distances_sum_6 Importance,0.0
77,Mouse1_mean_euclid_distances_median_7.5 Importance,0.0
78,Mouse1_mean_euclid_distances_mean_7.5 Importance,0.0
79,Mouse1_mean_euclid_distances_sum_7.5 Importance,0.0
80,Mouse1_smallest_euclid_distances_mean_2 Importance,0.0
81,Mouse1_smallest_euclid_distances_sum_5 Importance,0.0
82,Mouse1_smallest_euclid_distances_median_6 Importance,0.0
83,Mouse1_smallest_euclid_distances_mean_6 Importance,0.0
84,Mouse1_smallest_euclid_distances_sum_6 Importance,0.0
85,Mouse1_smallest_euclid_distances_median_7.5 Importance,0.0
86,Mouse1_smallest_euclid_distances_mean_7.5 Importance,0.0
87,Mouse1_smallest_euclid_distances_sum_7.5 Importance,0.0
88,Mouse1_largest_euclid_distances_median_2 Importance,0.0
89,Mouse1_largest_euclid_distances_mean_2 Importance,0.0
90,Mouse1_largest_euclid_distances_sum_2 Importance,0.0
91,Mouse1_largest_euclid_distances_median_5 Importance,0.0
92,Mouse1_largest_euclid_distances_mean_5 Importance,0.0
93,Mouse1_largest_euclid_distances_sum_5 Importance,0.0
94,Mouse1_largest_euclid_distances_median_6 Importance,0.0
95,Mouse1_largest_euclid_distances_mean_6 Importance,0.0
96,Mouse1_largest_euclid_distances_sum_6 Importance,0.0
97,Mouse1_largest_euclid_distances_median_7.5 Importance,0.0
98,Mouse1_largest_euclid_distances_mean_7.5 Importance,0.0
99,Mouse1_largest_euclid_distances_sum_7.5 Importance,0.0
100,Tail_base_movement_M1_median_2 Importance,0.0
101,Tail_base_movement_M1_median_5 Importance,0.0
102,Tail_base_movement_M1_mean_5 Importance,0.0
103,Tail_base_movement_M1_sum_5 Importance,0.0
104,Tail_base_movement_M1_median_6 Importance,0.0
105,Tail_base_movement_M1_mean_6 Importance,0.0
106,Tail_base_movement_M1_sum_6 Importance,0.0
107,Tail_base_movement_M1_median_7.5 Importance,0.0
108,Tail_base_movement_M1_mean_7.5 Importance,0.0
109,Tail_base_movement_M1_sum_7.5 Importance,0.0
110,Centroid_movement_M1_median_5 Importance,0.0
111,Centroid_movement_M1_mean_5 Importance,0.0
112,Centroid_movement_M1_sum_5 Importance,0.0
113,Centroid_movement_M1_median_6 Importance,0.0
